Treatment,Rep,Genotype,aT,dT,gT,aT3,dT3,gT3,TotalT,TotalT3,TotalTT3,chlorophyll,Neo,Vio,Lutein,Zeaxanthin,BCarotene,OtherCarotenes,TotalCarotenoids
dark,2,MS71,0.3447546902,-0.16860652,0.0086820864,0.7086414694,0.8352414027,-1.24308313,0.0381285181,-0.469237078,0.0361559693,-0.681971063,-0.476384868,-1.711067079,-1.703092574,-0.02675616,-0.006043098,0.3263260553,-1.771257817
dark,2,NC358,-0.349844214,-0.072755153,-0.420825216,-1.111196035,-1.718454003,-1.098443486,-0.392915738,-1.103350405,-0.426264742,-0.158597922,0.0144359051,0.6082821587,1.3927126525,0.0021536951,-0.001452736,0.4079075691,0.7873172161
dark,2,OH7B,0.8454083641,0.0238796963,0.1493049413,1.6168652729,1.3235053622,1.705334558,0.1415886125,1.6996913257,0.2166208945,0.2601005913,0.158794956,0.8052080374,0.7309048195,-0.004981646,0.0026633505,0.6526521105,-0.177053069
light,1,B73,-0.271570316,0.4244880933,-0.154482297,-1.613412583,-0.229250476,-1.673898939,-0.075560337,-1.668416141,-0.242274469,0.3927337856,1.7467445159,1.8117180841,1.1737744186,-0.012741944,0.0020580423,1.1011051739,-0.723585977
light,1,B97,0.1233469137,-1.107580581,0.746228766,0.4180956153,0.7399032309,1.3464269342,0.6506854888,0.9180668676,0.6281296075,-0.259626026,0.7795388748,1.1771791416,0.19841,-0.001900634,-0.001089553,-0.211170855,-0.553635625
light,1,Ki11,-2.037613995,1.6896753504,1.1629115448,0.6796626932,-1.51165e-14,1.3553844187,0.6335550104,0.8077784421,0.6426693488,0.9963313487,1.6456931802,1.2559494931,0.3690641167,0.0080821201,0.0005805508,2.0966249202,0.600541913
light,1,M37W,1.2693924418,1.6597205417,1.5876406307,-0.074692081,1.6710067228,1.120077311,1.5964143665,0.1523484142,1.6037505642,0.3255209565,1.0393851665,0.9977577854,0.6450817361,-0.002320981,0.0035704106,-0.24133812,-0.121020545
light,1,MS71,-0.204405704,0.5687124677,-0.955467989,1.2195225287,0.2088103507,-1.092406387,-0.907155052,0.3988515165,-0.896634639,0.6615851019,0.4330771527,0.3413381898,0.1008173194,0.0162200557,-0.0008633,0.030167265,0.4947105621
light,1,NC358,-0.295199287,-0.258872985,0.6198491543,1.1362370724,-0.381878667,1.1883161348,0.2252609325,1.1173168653,0.2609914366,2.1455389362,0.0866154305,-0.450741456,0.9284751016,0.0036454456,0.0065373123,0.4525089756,1.2721137565
light,1,OH7B,-0.97458791,-1.362263394,-1.226865743,-0.158386802,-0.356328367,-0.00307406,-1.240855716,-0.02811028,-1.229156571,-0.021086378,0.3753335323,-1.671681904,1.524974253,0.0239176185,0.0012106139,1.0407706439,1.6094233935
light,2,B73,0.271570316,-0.424488093,0.1544822969,1.6134125832,0.2292504764,1.6738989394,0.0755603373,1.668416141,0.2422744692,-0.392733786,-1.746744516,-1.811718084,-1.173774419,0.0127419445,-0.002058042,-1.101105174,0.7235859775
light,2,B97,-0.123346914,1.1075805811,-0.746228766,-0.418095615,-0.739903231,-1.346426934,-0.650685489,-0.918066868,-0.628129608,0.2596260261,-0.779538875,-1.177179142,-0.19841,0.0019006335,0.0010895531,0.2111708553,0.5536356251
light,2,Ki11,2.0376139949,-1.68967535,-1.162911545,-0.679662693,-1.51165e-14,-1.355384419,-0.63355501,-0.807778442,-0.642669349,-0.996331349,-1.64569318,-1.255949493,-0.369064117,-0.00808212,-0.000580551,-2.09662492,-0.600541913
light,2,M37W,-1.269392442,-1.659720542,-1.587640631,0.0746920815,-1.671006723,-1.120077311,-1.596414366,-0.152348414,-1.603750564,-0.325520957,-1.039385166,-0.997757785,-0.645081736,0.0023209814,-0.003570411,0.2413381203,0.1210205451
light,2,MS71,0.2044057036,-0.568712468,0.9554679889,-1.219522529,-0.208810351,1.092406387,0.9071550515,-0.398851517,0.8966346386,-0.661585102,-0.433077153,-0.34133819,-0.100817319,-0.016220056,0.0008632996,-0.030167265,-0.494710562
light,2,NC358,0.295199287,0.2588729847,-0.619849154,-1.136237072,0.3818786674,-1.188316135,-0.225260933,-1.117316865,-0.260991437,-2.145538936,-0.086615431,0.4507414557,-0.928475102,-0.003645446,-0.006537312,-0.452508976,-1.272113756
light,2,OH7B,0.9745879104,1.3622633936,1.2268657427,0.1583868022,0.3563283667,0.0030740596,1.2408557159,0.0281102797,1.2291565714,0.0210863778,-0.375333532,1.6716819037,-1.524974253,-0.023917619,-0.001210614,-1.040770644,-1.609423393
