Plate.Number,Envelope,Treatment,Rep,Location,Genotype,Field.location,Source,Extraction.BC,Datafile,d.T3,g.T3,a.T3,d.T,g.T,a.T,Total.Tocotrienols,Total.Tocopherols,Total.Tocochromanols,ID,ID2
LD_Plate 3,18A1329_1_3,Light,2,NY,MS71,U,14A1279,8032064599,02192019_LD3_18A1329_1_3_MS71_66.lcd,0.178,8.575,11.953,1.213,42.944,9.594,20.706,53.751,74.457,MS71_Light_2,MS71_Light
LD_Plate 3,18A1329_1_4,Light,2,NY,MS71,U,14A1279,8032064460,02192019_LD3_18A1329_1_4_MS71_67.lcd,0.119,9.454,15.18,0.857,NA,9.602,24.753,NA,NA,MS71_Light_2,MS71_Light
LD_Plate 3,18A1329_1_5,Light,2,NY,MS71,U,14A1279,8032064677,02192019_LD3_18A1329_1_5_MS71_68.lcd,NA,10.639,11.85,1.121,44.237,10.96,22.743,56.319,79.062,MS71_Light_2,MS71_Light
LD_Plate 3,18A1329_1_6,Light,2,NY,MS71,U,14A1279,8032064452,02192019_LD3_18A1329_1_6_MS71_69.lcd,0.14,8.818,13.42,0.882,43.769,NA,22.378,57.221,79.599,MS71_Light_2,MS71_Light
LD_Plate 3,18A1329_2_1,Control,2,NY,MS71,U,14A1279,8032064675,02192019_LD3_18A1329_2_1_MS71_70.lcd,NA,NA,13.804,0.722,35.543,10.765,25.825,47.031,72.856,MS71_Control_2,MS71_Control
LD_Plate 3,18A1329_2_2,Control,2,NY,MS71,U,14A1279,8032064783,02192019_LD3_18A1329_2_2_MS71_71.lcd,0.174,7.203,16.003,0.724,36.323,11.112,23.38,48.159,71.539,MS71_Control_2,MS71_Control
LD_Plate 3,18A1329_2_3,Control,2,NY,MS71,U,14A1279,8032065283,02192019_LD3_18A1329_2_3_MS71_72.lcd,0.19,8.139,11.752,0.74,32.304,NA,20.081,41.219,NA,MS71_Control_2,MS71_Control
LD_Plate 3,18A1329_2_4,Control,2,NY,MS71,U,14A1279,8032064769,02192019_LD3_18A1329_2_4_MS71_73.lcd,0.183,9.816,16.512,NA,38.867,11.686,26.51,51.373,77.884,MS71_Control_2,MS71_Control
LD_Plate 3,18A1329_2_5,Control,2,NY,MS71,U,14A1279,8032065268,02192019_LD3_18A1329_2_5_MS71_74.lcd,0.192,8.918,13.822,NA,29.465,10.923,22.932,40.947,63.88,MS71_Control_2,MS71_Control
LD_Plate 3,18A1329_2_6,Control,2,NY,MS71,U,14A1279,8032064475,02192019_LD3_18A1329_2_6_MS71_76.lcd,NA,7.674,14.674,0.73,38.298,12.104,22.476,51.131,73.607,MS71_Control_2,MS71_Control
LD_Plate 3,18A1329_3_1,Dark,2,NY,MS71,U,14A1279,8032065225,02192019_LD3_18A1329_3_1_MS71_77.lcd,0.212,10.33,13.688,0.036,6.202,6.769,24.23,13.007,37.236,MS71_Dark_2,MS71_Dark
LD_Plate 3,18A1329_3_2,Dark,2,NY,MS71,U,14A1279,8032064778,02192019_LD3_18A1329_3_2_MS71_78.lcd,0.18,10.435,15.685,0.02,4.354,5.949,26.301,10.322,36.623,MS71_Dark_2,MS71_Dark
LD_Plate 3,18A1329_3_3,Dark,2,NY,MS71,U,14A1279,8032064426,02192019_LD3_18A1329_3_3_MS71_79.lcd,0.176,10.822,15.219,0.034,4.439,5.021,26.216,9.494,35.71,MS71_Dark_2,MS71_Dark
LD_Plate 3,18A1329_3_4,Dark,2,NY,MS71,U,14A1279,8032065071,02192019_LD3_18A1329_3_4_MS71_80.lcd,0.143,NA,11.564,0.023,4.088,5.305,18.943,9.416,28.359,MS71_Dark_2,MS71_Dark
LD_Plate 3,18A1329_3_5,Dark,2,NY,MS71,U,14A1279,8032064585,02192019_LD3_18A1329_3_5_MS71_81.lcd,0.177,9.502,13.939,NA,NA,8.211,23.618,NA,44.872,MS71_Dark_2,MS71_Dark
LD_Plate 3,18A1329_3_6,Dark,2,NY,MS71,U,14A1279,8032065023,02192019_LD3_18A1329_3_6_MS71_82.lcd,0.149,8.708,13.337,0.058,2.854,4.399,22.194,7.311,29.505,MS71_Dark_2,MS71_Dark
LD_Plate 3,18A1330_1_1,Dark,2,NY,NC358,U,14A1278,8032064622,02192019_LD3_18A1330_1_1_NC358_83.lcd,1.299,13.869,15.776,0.014,2.479,4.386,30.945,6.879,37.824,NC358_Dark_2,NC358_Dark
LD_Plate 3,18A1330_1_2,Dark,2,NY,NC358,U,14A1278,8032064407,02192019_LD3_18A1330_1_2_NC358_84.lcd,1.105,13.412,14.634,0.014,2.394,4.5,29.151,6.907,36.059,NC358_Dark_2,NC358_Dark
LD_Plate 3,18A1330_1_3,Dark,2,NY,NC358,U,14A1278,8032064610,02192019_LD3_18A1330_1_3_NC358_85.lcd,1.119,13.713,17.947,0.015,2.697,NA,32.779,NA,40.321,NC358_Dark_2,NC358_Dark
LD_Plate 3,18A1330_1_4,Dark,2,NY,NC358,U,14A1278,8032064419,02192019_LD3_18A1330_1_4_NC358_86.lcd,1.4,15.589,14.939,0.013,2.59,4.311,31.928,6.915,38.843,NC358_Dark_2,NC358_Dark
LD_Plate 3,18A1330_1_5,Dark,2,NY,NC358,U,14A1278,8032064951,02192019_LD3_18A1330_1_5_NC358_87.lcd,1.452,14.739,15.321,0.013,2.528,4.353,31.513,6.894,38.407,NC358_Dark_2,NC358_Dark
LD_Plate 3,18A1330_1_6,Dark,2,NY,NC358,U,14A1278,8032064633,02192019_LD3_18A1330_1_6_NC358_90.lcd,1.454,16.044,NA,0.015,2.499,4.375,NA,6.889,NA,NC358_Dark_2,NC358_Dark
LD_Plate 3,18A1330_1_7,Dark,2,NY,NC358,U,14A1278,8032065203,02192019_LD3_18A1330_1_7_NC358_91.lcd,1.317,13.685,15.364,0.019,2.792,4.211,30.366,7.023,37.389,NC358_Dark_2,NC358_Dark
LD_Plate 3,18A1330_1_8,Dark,2,NY,NC358,U,14A1278,8032064797,02192019_LD3_18A1330_1_8_NC358_92.lcd,1.482,14.115,14.357,0.012,NA,NA,29.954,NA,35.992,NC358_Dark_2,NC358_Dark
LD_Plate 3,18A1330_1_9,Dark,2,NY,NC358,U,14A1278,8032064872,02192019_LD3_18A1330_1_9_NC358_93.lcd,1.689,16.242,17.133,0.017,2.539,NA,35.064,6.53,41.594,NC358_Dark_2,NC358_Dark
LD_Plate 3,18A1330_1_10,Dark,2,NY,NC358,U,14A1278,8032065195,02192019_LD3_18A1330_1_10_NC358_94.lcd,1.016,11.831,13.325,0.015,2.197,NA,26.172,NA,NA,NC358_Dark_2,NC358_Dark
LD_Plate 3,18A1330_1_11,Dark,2,NY,NC358,U,14A1278,8032064902,02192019_LD3_18A1330_1_11_NC358_95.lcd,1.186,12.498,15.473,0.018,NA,4.095,29.158,7.138,36.296,NC358_Dark_2,NC358_Dark
