Plate.Number,Envelope,Treatment,Rep,Location,Genotype,Field.location,Source,Extraction.BC,Datafile,d.T3,g.T3,a.T3,d.T,g.T,a.T,Total.Tocotrienols,Total.Tocopherols,Total.Tocochromanols,ID,ID2
LD_Plate 2,18A1326_1_1,Dark,2,NY,B97,U,14A1273,8032065288,02042019_LD1_18A1326_1_1_B97_107.lcd,1.714,24.1886666666667,5.24566666666667,0.043,3.98566666666667,3.21833333333333,31.1486666666667,7.24733333333333,38.3956666666667,B97_Dark_2,B97_Dark
LD_Plate 2,18A1326_2_1,Light,2,NY,B97,U,14A1273,8032064679,02042019_LD1_18A1326_2_1_B97_111.lcd,1.181,27.4926,5.7442,0.22125,25.30075,6.33425,34.4178,32.117,68.2838,B97_Light_2,B97_Light
LD_Plate 2,18A1326_3_1,Control,2,NY,B97,U,14A1273,8032064988,02042019_LD1_18A1326_3_1_B97_117.lcd,1.767,25.969,6.14875,0.07425,11.5248,5.53116666666667,34.4295,17.0422,53.1771666666667,B97_Control_2,B97_Control
LD_Plate 2,18A1327_1_1,Light,2,NY,Ki11,U,14A1275,8032064782,02042019_LD1_18A1327_1_1_Ki11_123.lcd,0.23475,9.715,10.31975,1.605,59.6085,16.56175,19.8426666666667,77.883,98.72575,Ki11_Light_2,Ki11_Light
LD_Plate 3,18A1327_2_1,Control,2,NY,Ki11,U,14A1275,8032064534,02192019_LD3_18A1327_2_1_Ki11_11.lcd,0.326,9.9627,7.9231,1.6005,52.8366,15.9775,18.2116,69.9925,88.2042,Ki11_Control_2,Ki11_Control
LD_Plate 3,18A1327_3_1,Dark,2,NY,Ki11,U,14A1275,8032064630,02192019_LD3_18A1327_3_1_Ki11_23.lcd,0.242857142857143,8.87383333333333,8.13314285714286,0.0254285714285714,2.83214285714286,6.03,17.8138571428571,8.88828571428571,26.7021428571429,Ki11_Dark_2,Ki11_Dark
LD_Plate 3,18A1328_1_1,Control,2,NY,B73,U,14A1165,8032064649,02192019_LD3_18A1328_1_1_B73_30.lcd,1.50314285714286,33.1677142857143,18.6621666666667,3.528,35.3888333333333,5.9182,52.2298,44.9498333333333,94.9821428571429,B73_Control_2,B73_Control
LD_Plate 3,18A1328_2_1,Dark,2,NY,B73,U,14A1165,8032065167,02192019_LD3_18A1328_2_1_B73_39.lcd,1.16911111111111,26.3374444444444,16.3926,0.0234285714285714,2.27622222222222,2.6413,44.6678,5.0706,49.7381,B73_Dark_2,B73_Dark
LD_Plate 3,18A1328_3_1,Light,2,NY,B73,U,14A1165,8032064708,02192019_LD3_18A1328_3_1_B73_50.lcd,0.8053,27.836,16.6943636363636,3.07145454545455,27.6182727272727,5.06966666666667,45.012,35.7296363636364,84.2691818181818,B73_Light_2,B73_Light
LD_Plate 3,18A1329_1_1,Light,2,NY,MS71,U,14A1279,8032064693,02192019_LD3_18A1329_1_1_MS71_64.lcd,0.1568,9.5922,13.6076666666667,1.012,43.572,9.5102,24.491,54.7188,79.1576,MS71_Light_2,MS71_Light
LD_Plate 3,18A1329_2_1,Control,2,NY,MS71,U,14A1279,8032064675,02192019_LD3_18A1329_2_1_MS71_70.lcd,0.18475,8.35,14.4278333333333,0.729,35.1333333333333,11.318,23.534,46.6433333333333,71.9532,MS71_Control_2,MS71_Control
LD_Plate 3,18A1329_3_1,Dark,2,NY,MS71,U,14A1279,8032065225,02192019_LD3_18A1329_3_1_MS71_77.lcd,0.172833333333333,9.9594,13.9053333333333,0.0342,4.3874,5.94233333333333,23.5836666666667,9.91,35.3841666666667,MS71_Dark_2,MS71_Dark
LD_Plate 3,18A1330_1_1,Dark,2,NY,NC358,U,14A1278,8032064622,02192019_LD3_18A1330_1_1_NC358_83.lcd,1.31015384615385,14.14925,15.461,0.0145384615384615,2.5343,4.30388888888889,30.4985833333333,6.89188888888889,37.7216363636364,NC358_Dark_2,NC358_Dark
LD_Plate 3,18A1330_2_1,Control,2,NY,NC358,U,14A1278,8032064437,02192019_LD3_18A1330_2_1_NC358_98.lcd,1.25155555555556,14.72825,16.7988333333333,0.240307692307692,13.5605384615385,9.58933333333333,32.8516363636364,23.54675,56.04275,NC358_Control_2,NC358_Control
LD_Plate 3,18A1330_3_1,Light,2,NY,NC358,U,14A1278,8032065179,02192019_LD3_18A1330_3_1_NC358_112.lcd,1.466,15.481,16.828,0.29825,16.28025,9.122,32.991,26.368,58.7656666666667,NC358_Light_2,NC358_Light
LD_Plate 4,18A1331_1_1,Light,2,NY,OH7B,U,14A1166,8032064763,02192019_LD4_18A1331_1_1_OH7B_12.lcd,0.618,21.8942727272727,4.7191,3.48327272727273,47.2991666666667,1.01581818181818,26.7539,51.7005833333333,81.8853636363636,OH7B_Light_2,OH7B_Light
LD_Plate 4,18A1331_2_1,Control,2,NY,OH7B,U,14A1166,8032064918,02192019_LD4_18A1331_2_1_OH7B_26.lcd,0.7681,23.5956,4.71844444444444,3.92988888888889,51.7072727272727,1.07128571428571,28.8574444444444,56.057,86.3756363636364,OH7B_Control_2,OH7B_Control
LD_Plate 4,18A1331_3_1,Dark,2,NY,OH7B,U,14A1166,8032064669,02192019_LD4_18A1331_3_1_OH7B_39.lcd,0.756916666666667,25.5305,5.549,0.0866,8.05527272727273,0.642545454545455,32.6085454545455,8.84309090909091,40.1977272727273,OH7B_Dark_2,OH7B_Dark
LD_Plate 4,18A1332_1_1,Light,2,NY,M37W,U,14A1296,8032065240,02192019_LD4_18A1332_1_1_M37W_52.lcd,0.0915,12.924625,9.187125,0.979125,37.415,1.85333333333333,22.20325,40.16525,62.368625,M37W_Light_2,M37W_Light
LD_Plate 4,18A1332_2_1,Dark,2,NY,M37W,U,14A1296,8032064703,02192019_LD4_18A1332_2_1_M37W_60.lcd,0.070625,11.108375,9.1635,0.0255,5.89975,1.26275,20.83,7.18775,28.01825,M37W_Dark_2,M37W_Dark
LD_Plate 4,18A1332_3_1,Control,2,NY,M37W,U,14A1296,8032065200,02192019_LD4_18A1332_3_1_M37W_70.lcd,0.0636666666666667,10.379875,8.8042,0.521,30.2375,1.68583333333333,19.72775,31.5578571428571,49.925,M37W_Control_2,M37W_Control
