Treatment,Rep,Genotype,aT,dT,gT,aT3,dT3,gT3,TotalT,TotalT3,TotalTT3
control,1,B73,-1.612414934,1.0128371488,0.3128184204,0.5846384863,0.415915276,0.4549610802,0.5927904734,0.0193376638,0.5882839818
control,1,B97,0.0813525028,-1.340377779,-1.690216623,-0.021301764,-0.969596654,-0.943921942,-1.448032995,-0.900510698,-1.620152175
control,1,OH7B,0.0614758115,1.4133846002,0.2128671223,-1.14879248,2.0235913982,0.120244479,0.7428325172,-0.181486993,0.1703738624
control,2,B73,1.6124149337,-1.012837149,-0.31281842,-0.584638486,-0.415915276,-0.45496108,-0.592790473,-0.019337664,-0.588283982
control,2,B97,-0.081352503,1.3403777786,1.6902166232,0.0213017636,0.9695966544,0.9439219422,1.448032995,0.9005106983,1.6201521746
control,2,OH7B,-0.061475811,-1.4133846,-0.212867122,1.1487924802,-2.023591398,-0.120244479,-0.742832517,0.1814869932,-0.170373862
dark,1,B73,0.6228537205,0.0215810995,1.5138344033,0.2232994271,0.5495689539,0.4448434195,1.3818026268,1.0309927754,0.6124375482
dark,1,B97,0.5857644123,0.1028332073,0.4159901268,0.7913024967,0.3010852769,0.4829236219,0.89738065,0.7184580313,0.9230678995
dark,1,OH7B,1.4139434057,-0.048414279,-0.731613284,0.4303852488,-0.244689037,2.0677825459,-0.534164726,2.3304710731,1.3314932794
dark,2,B73,-0.622853721,-0.0215811,-1.513834403,-0.223299427,-0.549568954,-0.44484342,-1.381802627,-1.030992775,-0.612437548
dark,2,B97,-0.585764412,-0.102833207,-0.415990127,-0.791302497,-0.301085277,-0.482923622,-0.89738065,-0.718458031,-0.923067899
dark,2,OH7B,-1.413943406,0.0484142791,0.7316132836,-0.430385249,0.2446890369,-2.067782546,0.5341647258,-2.330471073,-1.331493279
light,1,B73,-0.094355711,-1.404882605,-1.155871143,-2.26278505,0.2630079994,1.4421332303,-1.207461922,-0.288179347,-1.05451494
light,1,B97,1.6280397462,1.0921596715,0.8148384345,0.5971348176,1.5067348846,0.2346518474,0.7362324308,0.249996369,0.9423468352
light,1,OH7B,1.0052525042,NA,9.5637978e-07,NA,0.9999998247,1.1562731703,NA,0.9999999211,NA
light,2,B73,0.094355711,1.4048826046,1.155871143,2.2627850505,-0.263007999,-1.44213323,1.2074619216,0.2881793468,1.0545149398
light,2,B97,-1.628039746,-1.092159671,-0.814838435,-0.597134818,-1.506734885,-0.234651847,-0.736232431,-0.249996369,-0.942346835
light,2,OH7B,NA,NA,NA,NA,NA,NA,NA,NA,NA
